Atendente;Cliente;CPF;Telefone;EspecieBeneficio;PropostaTipo;NumeroProposta;PropostaStatus;BancoDigitado; ValorContrato ; ValorParcela ; ValorTroco ;TaxaPorc;TaxaCET;QuantidadeParcelas;BancoPortado;DataEnvioCIP;DataSaldoPago;OrigemCaptacao;Orgao;PossuiGravacao;PossuiFoto;EmRevisao;DataUltimoStatus;PossuiPendente;DataCriacaoProposta;
CAMILA EDUARDA RIBEIRO;TIAGO DANIEL RAMOS;999.000.081-00;(11) 90000-0081;41;PORTABILIDADE;658668788;INTEGRADO;PARANA; R$ 15.345,35 ; R$ 422,88 ; R$ -   ;0,00%;0,00%;0;INBURSA;04/08/2026;11/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;13/08/2026;NAO;04/08/2026;
CAMILA EDUARDA RIBEIRO;TIAGO DANIEL RAMOS;999.000.081-00;(11) 90000-0081;41;REFIN DA PORTABILIDADE;858668823;INTEGRADO;PARANA; R$ 20.027,10 ; R$ 422,88 ; R$ 4.681,75 ;1,60%;1,62%;96;INBURSA;04/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;13/08/2026;NAO;13/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690179;INTEGRADO;PARANA; R$ 19.685,67 ; R$ 494,82 ; R$ -   ;0,00%;0,00%;0;PINE;11/08/2026;18/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;11/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;REFIN DA PORTABILIDADE;858690199;INTEGRADO;PARANA; R$ 24.676,87 ; R$ 494,82 ; R$ 4.640,77 ;1,60%;1,62%;108;PINE;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;20/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690243;INTEGRADO;PARANA; R$ 6.014,06 ; R$ 151,17 ; R$ -   ;0,00%;0,00%;0;PINE;11/08/2026;18/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;11/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;REFIN DA PORTABILIDADE;858690254;INTEGRADO;PARANA; R$ 7.532,96 ; R$ 151,17 ; R$ 1.603,25 ;1,60%;1,62%;108;PINE;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;20/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690264;INTEGRADO;PARANA; R$ 5.696,19 ; R$ 143,18 ; R$ -   ;0,00%;0,00%;0;PINE;11/08/2026;18/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;19/08/2026;NAO;11/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;REFIN DA PORTABILIDADE;858690272;INTEGRADO;PARANA; R$ 6.973,31 ; R$ 143,18 ; R$ 1.513,73 ;1,65%;1,67%;108;PINE;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;19/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;PORTABILIDADE;658690217;INTEGRADO;PARANA; R$ 5.171,85 ; R$ 130,00 ; R$ -   ;0,00%;0,00%;0;PINE;11/08/2026;18/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;19/08/2026;NAO;11/08/2026;
CAMILA EDUARDA RIBEIRO;URIEL SILVIO PACHECO ;999.000.082-00;(11) 90000-0082;42;REFIN DA PORTABILIDADE;858690229;INTEGRADO;PARANA; R$ 6.479,87 ; R$ 130,00 ; R$ 1.321,68 ;1,60%;1,62%;108;PINE;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;19/08/2026;
DANIELA CRISTINA MORAES;BRUNO MIGUEL CAMPOS ;999.000.013-00;(11) 90000-0013;41;PORTABILIDADE;658700097;INTEGRADO;PARANA; R$ 14.843,50 ; R$ 385,20 ; R$ -   ;0,00%;0,00%;0;SANTANDER;13/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;21/08/2026;NAO;13/08/2026;
DANIELA CRISTINA MORAES;BRUNO MIGUEL CAMPOS ;999.000.013-00;(11) 90000-0013;41;REFIN DA PORTABILIDADE;858700110;INTEGRADO;PARANA; R$ 18.950,62 ; R$ 385,20 ; R$ 4.023,05 ;1,63%;1,65%;108;SANTANDER;13/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;21/08/2026;
DANIELA CRISTINA MORAES;BRUNO MIGUEL CAMPOS ;999.000.013-00;(11) 90000-0013;41;PORTABILIDADE;1611824;INTEGRADO;FINANTO; R$ 2.429,82 ; R$ 76,80 ; R$ -   ;0,00%;0,00%;0;SANTANDER;13/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;13/08/2026;
DANIELA CRISTINA MORAES;BRUNO MIGUEL CAMPOS ;999.000.013-00;(11) 90000-0013;41;REFIN DA PORTABILIDADE;1611825;INTEGRADO;FINANTO; R$ 3.478,15 ; R$ 76,79 ; R$ 1.036,36 ;1,85%;1,90%;108;SANTANDER;13/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;24/08/2026;
DANIELA CRISTINA MORAES;CAROLINA DANIEL MOREIRA ;999.000.016-00;(11) 90000-0016;42;PORTABILIDADE;658685162;INTEGRADO;PARANA; R$ 16.483,77 ; R$ 393,00 ; R$ -   ;0,00%;0,00%;0;SICRED;11/08/2026;17/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;18/08/2026;NAO;11/08/2026;
DANIELA CRISTINA MORAES;CAROLINA DANIEL MOREIRA ;999.000.016-00;(11) 90000-0016;42;REFIN DA PORTABILIDADE;858685175;INTEGRADO;PARANA; R$ 19.606,63 ; R$ 393,00 ; R$ 3.122,86 ;1,60%;1,61%;108;SICRED;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;SIM;19/08/2026;NAO;18/08/2026;
DANIELA CRISTINA MORAES;CAROLINA DANIEL MOREIRA ;999.000.016-00;(11) 90000-0016;42;MARGEM;858685220;INTEGRADO;PARANA; R$ 5.169,04 ; R$ 117,84 ; R$ 5.169,04 ;1,85%;1,93%;108;;10/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;13/08/2026;NAO;10/08/2026;
DANIELA CRISTINA MORAES;CESAR VICTOR FERREIRA ;999.000.019-00;(11) 90000-0019;57;PORTABILIDADE;658687760;INTEGRADO;PARANA; R$ 16.986,17 ; R$ 456,10 ; R$ -   ;0,00%;0,00%;0;FACTA;11/08/2026;14/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;28/08/2026;NAO;11/08/2026;
DANIELA CRISTINA MORAES;CESAR VICTOR FERREIRA ;999.000.019-00;(11) 90000-0019;57;REFIN DA PORTABILIDADE;858687778;INTEGRADO;PARANA; R$ 22.585,72 ; R$ 456,10 ; R$ 5.599,55 ;1,62%;1,65%;108;FACTA;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;SIM;28/08/2026;NAO;28/08/2026;
DANIELA CRISTINA MORAES;CESAR VICTOR FERREIRA ;999.000.019-00;(11) 90000-0019;57;PORTABILIDADE;658694360;INTEGRADO;PARANA; R$ 18.095,04 ; R$ 386,10 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;11/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;11/08/2026;
DANIELA CRISTINA MORAES;CESAR VICTOR FERREIRA ;999.000.019-00;(11) 90000-0019;57;REFIN DA PORTABILIDADE;858694364;INTEGRADO;PARANA; R$ 19.291,66 ; R$ 386,10 ; R$ 1.196,62 ;1,60%;1,61%;108;DAYCOVAL;11/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;17/08/2026;NAO;17/08/2026;
DANIELA CRISTINA MORAES;FABIO TOMÁS SANTOS ;999.000.031-00;(11) 90000-0031;21;PORTABILIDADE;658684655;INTEGRADO;PARANA; R$ 20.810,75 ; R$ 531,30 ; R$ -   ;0,00%;0,00%;0;PINE;02/08/2026;17/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;18/08/2026;NAO;02/08/2026;
DANIELA CRISTINA MORAES;FABIO TOMÁS SANTOS ;999.000.031-00;(11) 90000-0031;21;REFIN DA PORTABILIDADE;858684672;INTEGRADO;PARANA; R$ 24.985,76 ; R$ 531,30 ; R$ 4.175,01 ;1,74%;1,76%;108;PINE;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;19/08/2026;NAO;18/08/2026;
DANIELA CRISTINA MORAES;IGOR HENRIQUE CASTRO;999.000.042-00;(11) 90000-0042;42;REFIN DA PORTABILIDADE;1596230;AGUARDANDO ORG;FINANTO; R$ 2.483,81 ; R$ 54,45 ; R$ 971,98 ;1,83%;1,89%;108;SAFRA;17/07/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;30/07/2026;NAO;30/07/2026;
DANIELA CRISTINA MORAES;IVANA DANIEL NUNES;999.000.045-00;(11) 90000-0045;21;PORTABILIDADE;658698457;INTEGRADO;PARANA; R$ 20.432,98 ; R$ 415,11 ; R$ -   ;0,00%;0,00%;0;INBURSA;12/08/2026;19/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;21/08/2026;NAO;12/08/2026;
DANIELA CRISTINA MORAES;IVANA DANIEL NUNES;999.000.045-00;(11) 90000-0045;21;REFIN DA PORTABILIDADE;858698487;INTEGRADO;PARANA; R$ 20.824,98 ; R$ 415,11 ; R$ 392,00 ;1,60%;1,60%;108;INBURSA;12/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;26/08/2026;NAO;21/08/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;PORTABILIDADE;658610908;INTEGRADO;PARANA; R$ -   ; R$ 596,37 ; R$ -   ;0,00%;0,00%;0;FACTA;14/07/2026;29/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;04/08/2026;NAO;14/07/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;PORTABILIDADE;658653359;INTEGRADO;PARANA; R$ 6.930,64 ; R$ 179,68 ; R$ -   ;0,00%;0,00%;0;FACTA;14/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;14/08/2026;NAO;14/07/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;REFIN DA PORTABILIDADE;858653368;INTEGRADO;PARANA; R$ 8.617,85 ; R$ 179,68 ; R$ 1.687,21 ;1,60%;1,61%;108;FACTA;14/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;14/08/2026;NAO;14/08/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;PORTABILIDADE;658653851;INTEGRADO;PARANA; R$ -   ; R$ 173,78 ; R$ -   ;0,00%;0,00%;0;FACTA;14/07/2026;10/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;11/08/2026;NAO;14/07/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;REFIN DA PORTABILIDADE;858653855;INTEGRADO;PARANA; R$ 8.073,91 ; R$ 173,78 ; R$ 1.837,07 ;1,67%;1,69%;108;FACTA;14/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;14/08/2026;NAO;11/08/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;PORTABILIDADE;658653377;INTEGRADO;PARANA; R$ 5.460,65 ; R$ 141,57 ; R$ -   ;0,00%;0,00%;0;FACTA;14/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;14/08/2026;NAO;14/07/2026;
DANIELA CRISTINA MORAES;KARINA EDUARDO ARAUJO;999.000.050-00;(11) 90000-0050;21;REFIN DA PORTABILIDADE;858653382;INTEGRADO;PARANA; R$ 6.790,00 ; R$ 141,57 ; R$ 1.329,35 ;1,60%;1,62%;108;FACTA;14/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;14/08/2026;NAO;14/08/2026;
DANIELA CRISTINA MORAES;KELVIN ANTÔNIO MONTEIRO;999.000.052-00;(11) 90000-0052;32;PORTABILIDADE;2429268;INTEGRADO;QUALIBANKING; R$ 16.531,49 ; R$ 424,20 ; R$ -   ;0,00%;0,00%;0;;24/07/2026;30/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;04/08/2026;NAO;24/07/2026;
DANIELA CRISTINA MORAES;NOAH WILLIAM ALVES ;999.000.064-00;(11) 90000-0064;32;MARGEM;858729934;INTEGRADO;PARANA; R$ 13.094,51 ; R$ 308,00 ; R$ 13.094,51 ;1,85%;1,94%;108;;21/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;21/08/2026;
DANIELA CRISTINA MORAES;OTÁVIO BENEDITO ALMEIDA;999.000.067-00;(11) 90000-0067;21;PORTABILIDADE;1592842;INTEGRADO;FINANTO; R$ 19.192,14 ; R$ 476,70 ; R$ -   ;0,00%;0,00%;0;C6 BANK;03/08/2026;11/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;14/08/2026;NAO;03/08/2026;
DANIELA CRISTINA MORAES;OTÁVIO BENEDITO ALMEIDA;999.000.067-00;(11) 90000-0067;21;REFIN DA PORTABILIDADE;1611120;INTEGRADO;FINANTO; R$ 21.744,86 ; R$ 476,69 ; R$ 2.447,83 ;1,83%;1,87%;108;C6 BANK;03/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;14/08/2026;NAO;14/08/2026;
DANIELA CRISTINA MORAES;OTÁVIO BENEDITO ALMEIDA;999.000.067-00;(11) 90000-0067;21;PORTABILIDADE;1592849;INTEGRADO;FINANTO; R$ 1.360,67 ; R$ 91,91 ; R$ -   ;0,00%;0,00%;0;SANTANDER;03/08/2026;10/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;13/08/2026;NAO;03/08/2026;
DANIELA CRISTINA MORAES;OTÁVIO BENEDITO ALMEIDA;999.000.067-00;(11) 90000-0067;21;REFIN DA PORTABILIDADE;1592850;INTEGRADO;FINANTO; R$ 4.165,09 ; R$ 91,90 ; R$ 2.705,16 ;1,85%;1,94%;108;SANTANDER;03/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;14/08/2026;NAO;13/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;PORTABILIDADE;658650538;INTEGRADO;PARANA; R$ 25.956,06 ; R$ 610,34 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;12/08/2026;NAO;02/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;REFIN DA PORTABILIDADE;858710482;INTEGRADO;PARANA; R$ 30.460,72 ; R$ 610,34 ; R$ 4.433,50 ;1,60%;1,61%;108;DAYCOVAL;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;20/08/2026;NAO;12/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;MARGEM;858759364;AGUARDANDO ORG;PARANA; R$ 9.976,40 ; R$ 224,45 ; R$ 9.976,40 ;1,85%;2,26%;108;;31/08/2026;;Telefone Receptivo;INSS;SIM;NAO;NAO;31/08/2026;NAO;31/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;SAQUE COMPLEMENTAR;6009584;AGUARDANDO ORG;DAYCOVAL; R$ 2.137,00 ; R$ 60,52 ; R$ 2.137,00 ;2,46%;2,46%;99;;24/08/2026;;Telefone Receptivo;INSS;SIM;NAO;NAO;24/08/2026;NAO;24/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;PORTABILIDADE;1589386;INTEGRADO;FINANTO; R$ 1.733,32 ; R$ 54,38 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;02/08/2026;19/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;02/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;REFIN DA PORTABILIDADE;1604698;INTEGRADO;FINANTO; R$ 2.483,16 ; R$ 54,37 ; R$ 718,78 ;1,83%;1,88%;108;DAYCOVAL;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;24/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;PORTABILIDADE;1589382;INTEGRADO;FINANTO; R$ 2.023,05 ; R$ 52,49 ; R$ -   ;0,00%;0,00%;0;C6 BANK;02/08/2026;19/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;02/08/2026;
DANIELA CRISTINA MORAES;SANDRO RODRIGO MOREIRA;999.000.077-00;(11) 90000-0077;46;REFIN DA PORTABILIDADE;1634920;INTEGRADO;FINANTO; R$ 2.409,92 ; R$ 52,48 ; R$ 371,86 ;1,83%;1,87%;108;C6 BANK;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;24/08/2026;
DANIELA CRISTINA MORAES;SERGIO RODRIGO FREITAS;999.000.078-00;(11) 90000-0078;41;PORTABILIDADE;658647658;INTEGRADO;PARANA; R$ 25.615,21 ; R$ 652,82 ; R$ -   ;0,00%;0,00%;0;FACTA;21/07/2026;28/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;07/08/2026;NAO;21/07/2026;
DANIELA CRISTINA MORAES;SERGIO RODRIGO FREITAS;999.000.078-00;(11) 90000-0078;41;MARGEM;858759367;AGUARDANDO ORG;PARANA; R$ 7.600,65 ; R$ 171,00 ; R$ 7.600,65 ;1,85%;2,20%;108;;31/08/2026;;Rede Social;INSS;SIM;NAO;NAO;31/08/2026;NAO;31/08/2026;
DANIELA CRISTINA MORAES;VINICIUS ANDRÉ RODRIGUES ;999.000.085-00;(11) 90000-0085;42;PORTABILIDADE;658675122;INTEGRADO;PARANA; R$ 24.472,15 ; R$ 636,30 ; R$ -   ;0,00%;0,00%;0;AGIBANK;06/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;06/08/2026;
DANIELA CRISTINA MORAES;VINICIUS ANDRÉ RODRIGUES ;999.000.085-00;(11) 90000-0085;42;REFIN DA PORTABILIDADE;858675148;INTEGRADO;PARANA; R$ 30.209,38 ; R$ 636,30 ; R$ 5.737,23 ;1,60%;1,62%;96;AGIBANK;06/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;17/08/2026;NAO;17/08/2026;
DANIELA CRISTINA MORAES;VINICIUS ANDRÉ RODRIGUES ;999.000.085-00;(11) 90000-0085;42;PORTABILIDADE;658675160;INTEGRADO;PARANA; R$ 17.793,90 ; R$ 462,66 ; R$ -   ;0,00%;0,00%;0;AGIBANK;06/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;06/08/2026;
DANIELA CRISTINA MORAES;VINICIUS ANDRÉ RODRIGUES ;999.000.085-00;(11) 90000-0085;42;REFIN DA PORTABILIDADE;858675172;INTEGRADO;PARANA; R$ 21.965,54 ; R$ 462,66 ; R$ 4.171,64 ;1,60%;1,62%;96;AGIBANK;06/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;17/08/2026;NAO;17/08/2026;
DANIELA CRISTINA MORAES;VIVIANE MIGUEL OLIVEIRA;999.000.087-00;(11) 90000-0087;21;PORTABILIDADE;658664171;INTEGRADO;PARANA; R$ 18.210,97 ; R$ 443,61 ; R$ -   ;0,00%;0,00%;0;INBURSA;14/07/2026;12/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;18/08/2026;NAO;14/07/2026;
DANIELA CRISTINA MORAES;VIVIANE MIGUEL OLIVEIRA;999.000.087-00;(11) 90000-0087;21;REFIN DA PORTABILIDADE;858664176;INTEGRADO;PARANA; R$ 22.061,99 ; R$ 443,61 ; R$ 3.851,02 ;1,60%;1,61%;108;INBURSA;14/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;19/08/2026;NAO;18/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;PORTABILIDADE;658679224;INTEGRADO;PARANA; R$ 26.717,87 ; R$ 552,28 ; R$ -   ;0,00%;0,00%;0;FACTA;06/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;06/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;REFIN DA PORTABILIDADE;858679231;AGUARDANDO ORG;PARANA; R$ 27.606,71 ; R$ 552,28 ; R$ 888,84 ;1,60%;1,60%;108;FACTA;06/08/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;20/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;PORTABILIDADE;658701695;INTEGRADO;PARANA; R$ 12.838,90 ; R$ 292,01 ; R$ -   ;0,00%;0,00%;0;DAYCOVAL;07/08/2026;21/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;27/08/2026;NAO;07/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;REFIN DA PORTABILIDADE;858701702;AGUARDANDO ORG;PARANA; R$ 14.094,81 ; R$ 292,01 ; R$ 1.445,92 ;1,69%;1,70%;108;DAYCOVAL;07/08/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;27/08/2026;NAO;27/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;PORTABILIDADE;658701735;SALDO PAGO;PARANA; R$ 7.963,01 ; R$ 207,00 ; R$ -   ;0,00%;0,00%;0;;07/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;24/08/2026;NAO;07/08/2026;
DANIELA CRISTINA MORAES;YASMIN DANIEL SILVA ;999.000.090-00;(11) 90000-0090;21;PORTABILIDADE;658701799;SALDO PAGO;PARANA; R$ 6.629,10 ; R$ 149,00 ; R$ -   ;0,00%;0,00%;0;FACTA;07/08/2026;20/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;07/08/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;PORTABILIDADE;658641926;INTEGRADO;PARANA; R$ 41.863,22 ; R$ 1.031,82 ; R$ -   ;0,00%;0,00%;0;PINE;28/07/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;28/07/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;REFIN DA PORTABILIDADE;858641950;AGUARDANDO ORG;PARANA; R$ 61.921,21 ; R$ 1.031,82 ; R$ 9.388,01 ;1,60%;1,61%;108;PINE;28/07/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;05/08/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;PORTABILIDADE;658641959;INTEGRADO;PARANA; R$ 7.471,60 ; R$ 185,95 ; R$ -   ;0,00%;0,00%;0;PINE;28/07/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;28/07/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;REFIN DA PORTABILIDADE;858641965;AGUARDANDO ORG;PARANA; R$ 9.331,94 ; R$ 185,95 ; R$ 2.010,82 ;1,60%;1,62%;108;PINE;28/07/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;05/08/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;PORTABILIDADE;658641979;INTEGRADO;PARANA; R$ 6.649,90 ; R$ 165,50 ; R$ -   ;0,00%;0,00%;0;PINE;28/07/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;28/07/2026;
ELISA FERNANDA COSTA;ANA DANIEL PINHEIRO ;999.000.006-00;(11) 90000-0006;42;REFIN DA PORTABILIDADE;858641990;AGUARDANDO ORG;PARANA; R$ 8.324,09 ; R$ 165,50 ; R$ 1.627,65 ;1,60%;1,62%;108;PINE;28/07/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;05/08/2026;
ELISA FERNANDA COSTA;ARTHUR ANDRÉ BATISTA ;999.000.007-00;(11) 90000-0007;42;PORTABILIDADE;658677362;INTEGRADO;PARANA; R$ 52.175,10 ; R$ 1.142,07 ; R$ -   ;0,00%;0,00%;0;INBURSA;06/08/2026;13/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;18/08/2026;NAO;06/08/2026;
ELISA FERNANDA COSTA;ARTHUR ANDRÉ BATISTA ;999.000.007-00;(11) 90000-0007;42;REFIN DA PORTABILIDADE;858677382;INTEGRADO;PARANA; R$ 56.992,64 ; R$ 1.142,07 ; R$ 4.817,54 ;1,60%;1,61%;108;INBURSA;06/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;19/08/2026;NAO;18/08/2026;
ELISA FERNANDA COSTA;ARTHUR ANDRÉ BATISTA ;999.000.007-00;(11) 90000-0007;42;MARGEM;858677397;INTEGRADO;PARANA; R$ 8.584,70 ; R$ 196,20 ; R$ 8.584,70 ;1,85%;1,93%;108;;06/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;19/08/2026;NAO;06/08/2026;
ELISA FERNANDA COSTA;ARTHUR ANDRÉ BATISTA ;999.000.007-00;(11) 90000-0007;42;PORTABILIDADE;1599592;INTEGRADO;FINANTO; R$ 2.926,04 ; R$ 103,20 ; R$ -   ;0,00%;0,00%;0;MERCANTIL;06/08/2026;14/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;21/08/2026;NAO;06/08/2026;
ELISA FERNANDA COSTA;ARTHUR ANDRÉ BATISTA ;999.000.007-00;(11) 90000-0007;42;REFIN DA PORTABILIDADE;1599593;INTEGRADO;FINANTO; R$ 4.493,23 ; R$ 103,20 ; R$ 1.503,31 ;1,85%;1,91%;96;MERCANTIL;06/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;24/08/2026;NAO;21/08/2026;
